order,feature,cell_type,gene,age_pearson,abs_corr,modality,source_mode,required_from_model
122,DC__GOLGA8B,DC,GOLGA8B,-0.3886391711890952,0.3886391711890952,RNA,model_prediction,True
123,CD8_Tem__B3GNT2,CD8_Tem,B3GNT2,-0.3882209520923833,0.3882209520923833,RNA,model_prediction,True
124,cMono__YBX3,cMono,YBX3,-0.3878930487811396,0.3878930487811396,RNA,model_prediction,True
125,cMono__ZFP36L2,cMono,ZFP36L2,-0.3877959855672165,0.3877959855672165,RNA,model_prediction,True
126,CD4_Tcm__DIP2A,CD4_Tcm,DIP2A,-0.3868777861244264,0.3868777861244264,RNA,model_prediction,True
127,CD4_Naïve__MDN1,CD4_Naïve,MDN1,0.3867863530688096,0.3867863530688096,RNA,model_prediction,True
128,cMono__LGALS8,cMono,LGALS8,-0.3862605909408123,0.3862605909408123,RNA,model_prediction,True
129,CD8_CTL__CCNL1,CD8_CTL,CCNL1,-0.3862383715548028,0.3862383715548028,RNA,model_prediction,True
130,CD4_Treg__TTN,CD4_Treg,TTN,0.3859023014436309,0.3859023014436309,RNA,model_prediction,True
131,CD4_Helper__SYNC,CD4_Helper,SYNC,0.3854489710783501,0.3854489710783501,RNA,model_prediction,True
132,Prolif.T__PIK3IP1,Prolif.T,PIK3IP1,-0.3854479904457935,0.3854479904457935,RNA,model_prediction,True
133,CD4_Treg__ITGB1,CD4_Treg,ITGB1,0.3852669747130982,0.3852669747130982,RNA,model_prediction,True
134,CD8_Tem__RTN4R,CD8_Tem,RTN4R,0.385057309363016,0.385057309363016,RNA,model_prediction,True
135,CD4_Naïve__EDAR,CD4_Naïve,EDAR,-0.3849952732804123,0.3849952732804123,RNA,model_prediction,True
136,Naïve_B__SMC6,Naïve_B,SMC6,0.3848349746830613,0.3848349746830613,RNA,model_prediction,True
137,CD8_CTL__EIF4A2,CD8_CTL,EIF4A2,-0.384810973251194,0.384810973251194,RNA,model_prediction,True
138,CD4_Treg__GLIPR2,CD4_Treg,GLIPR2,0.3848092596404482,0.3848092596404482,RNA,model_prediction,True
139,cMono__ACTG1,cMono,ACTG1,0.3836005903784618,0.3836005903784618,RNA,model_prediction,True
140,CD4_Helper__NFIC,CD4_Helper,NFIC,0.3835244716577251,0.3835244716577251,RNA,model_prediction,True
141,CD4_Naïve__SPEF2,CD4_Naïve,SPEF2,0.3834344658903603,0.3834344658903603,RNA,model_prediction,True
142,cMono__PUM1,cMono,PUM1,-0.383052831250685,0.383052831250685,RNA,model_prediction,True
143,CD8_CTL__RAB8A,CD8_CTL,RAB8A,0.3830381994858404,0.3830381994858404,RNA,model_prediction,True
144,CD8_CTL__GNAI2,CD8_CTL,GNAI2,0.3829896167631582,0.3829896167631582,RNA,model_prediction,True
145,CD8_CTL__BTF3,CD8_CTL,BTF3,-0.3827491464237708,0.3827491464237708,RNA,model_prediction,True
146,Swit.Bm__RGS10,Swit.Bm,RGS10,-0.3821428965368295,0.3821428965368295,RNA,model_prediction,True
147,CD8_CTL__ISG20,CD8_CTL,ISG20,-0.382041513509721,0.382041513509721,RNA,model_prediction,True
148,cMono__TSC22D3,cMono,TSC22D3,-0.3820190758512166,0.3820190758512166,RNA,model_prediction,True
149,cMono__PHC3,cMono,PHC3,-0.3818681812298223,0.3818681812298223,RNA,model_prediction,True
150,CD4_Tcm__BIRC3,CD4_Tcm,BIRC3,0.3816179751884015,0.3816179751884015,RNA,model_prediction,True
151,CD8_CTL__DNAJB1,CD8_CTL,DNAJB1,-0.3813595414296992,0.3813595414296992,RNA,model_prediction,True
152,DC__TUBA1A,DC,TUBA1A,0.3811396511600495,0.3811396511600495,RNA,model_prediction,True
153,CD4_Naïve__CWF19L2,CD4_Naïve,CWF19L2,0.380146893924776,0.380146893924776,RNA,model_prediction,True
154,DC__KAT2A,DC,KAT2A,-0.3788967533898461,0.3788967533898461,RNA,model_prediction,True
