feature,age_pearson,abs_corr,modality
DC__TBCB,0.42232350811132374,0.42232350811132374,RNA
CD4_Naïve__NREP,-0.4220148815177722,0.4220148815177722,RNA
DC__SELPLG,0.42081748794102647,0.42081748794102647,RNA
CD8_CTL__EEF1B2,-0.42010503366327734,0.42010503366327734,RNA
CD4_Naïve__SATB1,-0.4199162084585738,0.4199162084585738,RNA
DC__MAPKAPK3,0.41989164763416537,0.41989164763416537,RNA
Naïve_B__GNAI2,0.41880277422393697,0.41880277422393697,RNA
DC__CEP95,-0.41859819361756867,0.41859819361756867,RNA
CD4_Tcm__VAMP2,0.4182945732557345,0.4182945732557345,RNA
CD4_Naïve__SLC25A5,-0.41806162553405185,0.41806162553405185,RNA
CD4_Tcm__CD84,0.41762644302511154,0.41762644302511154,RNA
DC__CTSL,0.4173884930869359,0.4173884930869359,RNA
DC__PSAP,0.4166490883693548,0.4166490883693548,RNA
cMono__SRSF11,-0.4160381507268925,0.4160381507268925,RNA
CD4_Naïve__ATP5F1E,-0.41525491631846884,0.41525491631846884,RNA
CD4_Naïve__SP140,0.4147537845386472,0.4147537845386472,RNA
CD4_Treg__NAP1L2,0.41436881241510715,0.41436881241510715,RNA
CD4_Naïve__VAMP2,0.41263395966208455,0.41263395966208455,RNA
CD4_Treg__VAMP2,0.4125395457064311,0.4125395457064311,RNA
Swit.Bm__CRIP1,0.41243994680496354,0.41243994680496354,RNA
CD4_Naïve__ANXA1,0.41229297769352885,0.41229297769352885,RNA
CD4_Naïve__CD84,0.4118411177623942,0.4118411177623942,RNA
CD4_Naïve__ZC3H12D,0.4115745584412201,0.4115745584412201,RNA
DC__RSL1D1,-0.41102345524369754,0.41102345524369754,RNA
cMono__CRIP1,0.4101345034490893,0.4101345034490893,RNA
DC__RRAS,0.409711197186674,0.409711197186674,RNA
cMono__PNPLA6,0.4095988677787986,0.4095988677787986,RNA
CD8_Tem__CD84,0.409424927902165,0.409424927902165,RNA
DC__ZYX,0.4092777921965183,0.4092777921965183,RNA
CD4_Treg__ACTN4,0.4088331633909566,0.4088331633909566,RNA
DC__CCNL2,-0.4087478446767869,0.4087478446767869,RNA
CD8_CTL__NFKBIZ,-0.4086170126225553,0.4086170126225553,RNA
DC__STXBP2,0.4078899756340306,0.4078899756340306,RNA
CD4_Treg__ITGB1,0.40618184450346273,0.40618184450346273,RNA
CD4_Tcm__MAZ,0.405780489386453,0.405780489386453,RNA
CD4_Treg__TCF7,-0.4051663287193951,0.4051663287193951,RNA
CD8_Tem__PIM1,0.40429147652640685,0.40429147652640685,RNA
cMono__MGRN1,-0.403995705394182,0.403995705394182,RNA
DC__LYPD2,0.40351184438058385,0.40351184438058385,RNA
DC__P2RY13,0.4033273024624776,0.4033273024624776,RNA
CD8_CTL__JAML,-0.4027848007399388,0.4027848007399388,RNA
CD4_Helper__VAMP2,0.4027026237969112,0.4027026237969112,RNA
CD8_CTL__JUNB,-0.4006307645719464,0.4006307645719464,RNA
cMono__SLC11A1,-0.4005698306032413,0.4005698306032413,RNA
CD4_Naïve__PAWR,-0.3996859710556127,0.3996859710556127,RNA
CD4_Treg__SATB1,-0.39941591473334875,0.39941591473334875,RNA
CD4_Tcm__PDE4D,-0.39899248501656115,0.39899248501656115,RNA
CD8_CTL__RGS10,-0.39884757552889105,0.39884757552889105,RNA
CD4_Naïve__PIM2,0.398672975211503,0.398672975211503,RNA
CD8_Tem__ALOX5AP,0.39856246695512576,0.39856246695512576,RNA
CD4_Naïve__MARCKSL1,-0.3983497899201476,0.3983497899201476,RNA
CD8_CTL__IRF2BP2,-0.39727044169732856,0.39727044169732856,RNA
CD4_Naïve__SLFN12L,0.395854636803607,0.395854636803607,RNA
NKbright__DCAF7,0.395831603038309,0.395831603038309,RNA
cMono__SERPINA1,0.3957274446032746,0.3957274446032746,RNA
CD4_Treg__TNFRSF1B,0.3952179428233115,0.3952179428233115,RNA
CD4_Naïve__HIGD2A,0.3949182236646362,0.3949182236646362,RNA
CD8_Tem__S100A6,0.39486019098583075,0.39486019098583075,RNA
cMono__EIF3M,-0.3945416232127365,0.3945416232127365,RNA
